
. l year month EU nEU rat, noob nod ;

    year     month         EU        nEU        rat  
    1999         1          7         78       0.09  
    1999         2          5         59       0.08  
    1999         3         10        110       0.09  
    1999         4         22        242       0.09  
    1999         5         33        362       0.09  
    1999         6         16        292       0.05  
    1999         7         32        297       0.11  
    1999         8         28        298       0.09  
    1999         9         29        241       0.12  
    1999        10         49        440       0.11  
    1999        11         63        609       0.10  
    1999        12         36        381       0.09  
    2000         1         31        406       0.08  
    2000         2         27        390       0.07  
    2000         3         76        405       0.19  
    2000         4         42        321       0.13  
    2000         5         65        360       0.18  
    2000         6         43        339       0.13  
    2000         7         36        397       0.09  
    2000         8         77        501       0.15  
    2000         9         66        414       0.16  
    2000        10         70        513       0.14  
    2000        11         91        645       0.14  
    2000        12         78        657       0.12  
    2001         1        112        805       0.14  
    2001         2        105        752       0.14  
    2001         3        105        788       0.13  
    2001         4         30        228       0.13  

. log close ;
